la,Current Price (smoothed) GVA (B) per hour worked indices,Productivity Hours,Productivity Jobs,Current Price (smoothed) GVA (B) per hour worked
E07000113,98,"1,891,289","60,594",39.0
E07000114,71.3,"1,653,986","52,673",28.4
E07000115,109.4,"2,270,047","71,859",43.5
E07000116,97.8,"1,776,535","60,901",38.9
E07000117,86,"1,209,513","40,328",34.2
E07000118,86.6,"1,402,151","45,939",34.4
E07000119,102.8,"1,383,033","44,485",40.8
E07000120,81.6,"875,232","28,671",32.4
E07000121,89.4,"1,865,948","62,624",35.5
E07000122,81.2,"1,052,712","35,345",32.3
E07000123,80.3,"2,951,183","99,794",31.9
E07000124,108.4,"959,660","31,258",43.1
E07000125,84.8,"635,309","20,323",33.7
E07000126,135.8,"1,548,121","49,236",53.9
E07000127,97.1,"1,468,672","50,330",38.6
E07000128,88.9,"1,065,500","34,788",35.3
E07000129,90.7,"2,071,591","63,442",36.0
E07000130,85.3,"2,498,195","80,263",33.9
E07000131,83.1,"1,426,760","45,199",33.0
E07000132,90.7,"1,420,565","45,607",36.1
E07000133,88,"768,653","25,161",35.0
E07000134,87.4,"2,345,980","72,095",34.8
E07000135,64.8,"642,444","20,896",25.7
E07000136,73.2,"1,007,827","32,297",29.1
E07000137,88.6,"1,488,142","53,160",35.2
E07000138,82,"1,797,323","63,429",32.6
E07000139,106.1,"1,396,393","48,905",42.2
E07000140,89.3,"1,276,012","41,872",35.5
E07000141,80,"1,831,388","63,299",31.8
E07000142,92.2,"977,418","32,849",36.6
E07000143,88.2,"1,459,426","54,972",35.0
E07000144,136.3,"1,640,089","50,873",54.2
E07000145,79.7,"1,246,218","40,494",31.7
E07000146,86.1,"1,878,496","68,646",34.2
E07000147,74,"1,051,599","39,173",29.4
E07000148,74.7,"3,081,939","95,936",29.7
E07000149,91.1,"1,646,516","61,303",36.2
E07000170,81.6,"1,870,142","57,895",32.4
E07000171,71.1,"1,700,248","52,244",28.2
E07000172,91.1,"1,347,987","40,294",36.2
E07000173,78.6,"1,158,605","36,115",31.2
E07000174,67.7,"1,478,627","47,932",26.9
E07000175,74.8,"1,870,936","59,360",29.7
E07000176,109,"1,598,603","47,989",43.3
E07000177,95.2,"2,860,767","87,396",37.8
E07000178,101.4,"3,906,067","122,278",40.3
E07000179,115.1,"2,171,503","68,926",45.7
E07000180,115,"2,401,645","75,468",45.7
E07000181,95.5,"1,775,184","59,835",38.0
E07000192,81.2,"1,377,952","42,106",32.3
E07000193,94.7,"2,060,557","64,771",37.6
E07000194,81.3,"1,757,535","57,102",32.3
E07000195,84.2,"1,486,736","47,922",33.5
E07000196,86.3,"1,335,785","41,947",34.3
E07000197,82.8,"2,207,928","71,102",32.9
E07000198,73.4,"1,153,092","39,359",29.2
E07000199,101,"937,557","30,326",40.1
E07000200,89.3,"1,045,870","37,056",35.5
E07000202,98.9,"2,028,673","71,789",39.3
E07000203,86.5,"1,303,760","43,835",34.4
E07000207,174.6,"1,980,311","65,355",69.4
E07000208,86.7,"1,008,354","32,770",34.5
E07000209,109.2,"2,748,428","94,065",43.4
E07000210,140.9,"1,571,981","50,406",56.0
E07000211,131.7,"2,327,334","76,069",52.3
E07000212,188.3,"1,814,889","61,068",74.8
E07000213,147.5,"1,253,059","40,774",58.6
E07000214,121,"1,506,774","50,955",48.1
E07000215,89.7,"1,081,565","37,115",35.7
E07000216,102.8,"1,714,710","57,955",40.9
E07000217,109,"1,342,228","44,321",43.3
E07000218,99.8,"1,514,581","50,228",39.7
E07000219,74.1,"1,341,980","46,331",29.5
E07000220,90.8,"1,731,324","57,975",36.1
E07000221,99.3,"2,398,425","79,843",39.5
E07000222,101.7,"3,124,257","103,363",40.4
E07000223,91.2,"593,170","22,104",36.3
E07000224,85.4,"1,434,305","56,393",33.9
E07000225,90,"1,854,468","64,232",35.8
E07000226,98.8,"2,856,295","86,228",39.3
E07000227,96.2,"1,986,445","67,790",38.2
E07000228,97.2,"1,989,019","67,837",38.6
E07000229,139.5,"1,626,647","55,897",55.5
E07000234,106.4,"1,533,937","49,340",42.3
E07000235,83.9,"1,138,019","35,720",33.4
E07000236,81.4,"1,330,434","41,519",32.3
E07000237,92.2,"1,700,342","57,795",36.6
E07000238,90,"1,815,563","57,939",35.8
E07000239,63.4,"1,138,769","37,131",25.2
E07000240,103.2,"2,106,209","69,497",41.0
E07000241,111.4,"2,479,543","80,810",44.3
E07000242,94.4,"2,176,531","70,244",37.5
E07000243,86.1,"1,543,007","49,967",34.2
E07000244,89.5,"2,993,662","105,831",35.6
E07000245,92.6,"2,923,962","101,467",36.8
E08000001,84.2,"3,713,878","122,641",33.5
E08000002,80.9,"2,121,496","72,571",32.1
E08000003,102.3,"13,869,321","446,320",40.7
E08000004,75.8,"2,790,715","93,382",30.1
E08000005,79,"2,486,576","83,815",31.4
E08000006,102,"4,750,919","154,983",40.5
E08000007,87.5,"4,278,079","139,329",34.8
E08000008,77.9,"2,220,986","73,834",30.9
E08000009,98.3,"5,305,396","170,607",39.1
E08000010,82.6,"3,431,034","112,128",32.8
E08000011,86,"2,292,241","74,169",34.2
E08000012,89.6,"9,028,977","286,421",35.6
E08000013,72,"1,993,679","67,863",28.6
E08000014,88.9,"2,469,141","95,079",35.3
E08000015,87.8,"3,456,212","115,695",34.9
E08000016,77.3,"2,709,281","88,915",30.7
E08000017,71.9,"4,398,330","142,054",28.6
E08000018,72.3,"3,342,208","107,739",28.7
E08000019,87.1,"8,535,013","283,558",34.6
E08000021,89.5,"5,750,177","196,353",35.6
E08000022,95.2,"2,657,435","88,590",37.8
E08000023,71.5,"1,307,308","44,609",28.4
E08000024,91.8,"3,478,498","118,065",36.5
E08000025,86.2,"17,503,866","574,217",34.2
E08000026,96.8,"5,337,816","167,691",38.5
E08000027,77.5,"3,643,429","117,016",30.8
E08000028,80.5,"3,969,157","129,255",32.0
E08000029,99.9,"4,591,558","145,989",39.7
E08000030,77.2,"3,196,409","103,456",30.7
E08000031,85.6,"3,295,370","114,186",34.0
E08000032,81.6,"6,355,043","219,948",32.4
E08000033,91.2,"3,116,107","99,235",36.2
E08000034,77.3,"5,154,988","166,446",30.7
E08000035,92.5,"16,027,492","514,585",36.8
E08000036,85.8,"4,932,443","167,454",34.1
E08000037,77.8,"2,860,222","94,962",30.9
E09000001,194.9,"23,645,574","647,098",77.5
E09000002,78.1,"2,183,441","69,353",31.0
E09000003,96.2,"4,585,589","153,313",38.2
E09000004,116.5,"2,617,215","84,114",46.3
E09000005,104.9,"4,338,254","135,347",41.7
E09000006,98.5,"3,803,854","126,028",39.1
E09000007,126.2,"13,486,706","397,850",50.2
E09000008,127,"4,001,396","139,284",50.5
E09000009,99.2,"4,197,426","146,728",39.4
E09000010,110.2,"3,370,187","118,975",43.8
E09000011,93.6,"2,930,003","97,933",37.2
E09000012,101.3,"5,420,731","167,406",40.3
E09000013,119.5,"4,651,962","147,540",47.5
E09000014,72,"3,062,125","99,333",28.6
E09000015,94.8,"2,838,107","83,664",37.7
E09000016,99.3,"2,993,955","101,015",39.5
E09000017,92.6,"6,447,381","200,823",36.8
E09000018,131.1,"5,307,770","165,224",52.1
E09000019,132.9,"8,407,184","256,562",52.8
E09000020,103.7,"4,664,403","147,638",41.2
E09000021,94.6,"2,480,887","86,126",37.6
E09000022,124.9,"5,230,521","178,470",49.6
E09000023,71.8,"2,547,996","87,759",28.5
E09000024,106.4,"2,553,982","83,823",42.3
E09000025,77.3,"4,765,290","146,398",30.7
E09000026,94.7,"2,697,476","88,331",37.6
E09000027,122.2,"2,864,221","92,389",48.6
E09000028,105,"10,262,154","310,867",41.7
E09000029,78.2,"2,812,672","96,830",31.1
E09000030,174.6,"10,272,054","294,874",69.4
E09000031,89.4,"2,592,147","87,683",35.5
E09000032,83.3,"4,256,524","140,600",33.1
E09000033,153.9,"26,661,416","770,539",61.2
N09000001,97.5,"1,795,160","63,432",38.7
N09000002,76.7,"2,780,906","85,189",30.5
N09000003,92.9,"8,327,053","246,532",36.9
N09000004,83.8,"1,398,477","47,611",33.3
N09000005,89.7,"1,794,967","68,584",35.6
N09000006,92.4,"1,344,388","47,686",36.7
N09000007,90,"1,973,046","67,999",35.8
N09000008,93.7,"1,386,829","48,898",37.2
N09000009,96.5,"2,028,853","66,161",38.4
N09000010,83.9,"1,984,327","65,884",33.3
N09000011,91.7,"1,184,447","47,666",36.5
S12000005,126.2,"452,624","14,751",50.2
S12000006,90.2,"1,981,784","66,146",35.9
S12000008,80.8,"1,189,632","41,453",32.1
S12000010,88.1,"1,042,671","37,634",35.0
S12000011,88.1,"671,475","23,606",35.0
S12000013,72,"387,843","14,027",28.6
S12000014,92.6,"2,107,652","67,512",36.8
S12000017,92.5,"3,679,457","126,820",36.8
S12000018,68.2,"774,568","26,921",27.1
S12000019,84.9,"991,857","34,954",33.7
S12000020,107.6,"1,189,005","42,757",42.8
S12000021,98.8,"1,255,353","43,315",39.2
S12000023,116.3,"250,859","12,007",46.2
S12000026,83,"1,459,627","49,643",33.0
S12000027,100.3,"302,999","14,005",39.9
S12000028,83.6,"1,408,468","48,889",33.2
S12000029,91.1,"3,806,790","122,744",36.2
S12000030,91.6,"1,442,323","48,584",36.4
S12000033,97.8,"5,117,594","160,484",38.9
S12000034,94.5,"3,623,574","111,039",37.6
S12000035,95.5,"1,175,395","43,955",37.9
S12000036,123.4,"10,602,628","366,016",49.0
S12000038,93.1,"2,428,184","83,423",37.0
S12000039,90.7,"1,065,587","34,084",36.1
S12000040,104.7,"2,472,209","78,952",41.6
S12000041,98.3,"1,188,415","40,414",39.0
