la,Current Price (smoothed) GVA (B) per hour worked indices,Productivity Hours,Productivity Jobs
E07000008,113.9," 3,408,520 "," 113,726 "
E07000009,92.2," 1,123,010 "," 36,064 "
E07000010,75.3," 1,255,036 "," 38,823 "
E07000011,97.1," 2,514,556 "," 79,829 "
E07000012,107.6," 2,757,052 "," 89,214 "
E07000032,95.5," 1,580,264 "," 52,200 "
E07000033,108.7," 1,102,667 "," 35,243 "
E07000034,90.4," 1,560,109 "," 51,345 "
E07000035,76.4," 1,116,366 "," 36,779 "
E07000036,77.2," 1,260,427 "," 41,362 "
E07000037,76.3," 1,149,206 "," 37,006 "
E07000038,89.0," 998,531 "," 32,005 "
E07000039,137.2," 1,242,384 "," 39,896 "
E07000040,96.0," 1,809,149 "," 61,514 "
E07000041,99.1," 3,152,836 "," 105,470 "
E07000042,76.8," 1,069,358 "," 34,262 "
E07000043,84.9," 1,524,210 "," 54,624 "
E07000044,85.6," 1,356,080 "," 44,849 "
E07000045,78.1," 1,625,005 "," 54,188 "
E07000046,66.6," 844,732 "," 27,788 "
E07000047,58.7," 823,504 "," 26,084 "
E07000061,77.9," 1,470,554 "," 53,118 "
E07000062,78.9," 1,078,240 "," 35,950 "
E07000063,83.4," 1,189,817 "," 41,666 "
E07000064,72.7," 1,060,738 "," 36,813 "
E07000065,85.3," 1,725,407 "," 61,219 "
E07000066,112.9," 2,952,292 "," 93,072 "
E07000067,105.0," 1,847,508 "," 60,644 "
E07000068,126.3," 1,146,200 "," 34,903 "
E07000069,66.7," 884,796 "," 30,832 "
E07000070,93.6," 3,155,664 "," 96,171 "
E07000071,97.2," 2,566,304 "," 89,440 "
E07000072,107.4," 1,994,555 "," 57,871 "
E07000073,81.1," 1,453,206 "," 42,799 "
E07000074,79.7," 775,965 "," 25,474 "
E07000075,92.5," 746,991 "," 25,239 "
E07000076,71.7," 1,682,079 "," 55,479 "
E07000077,77.2," 1,711,414 "," 50,305 "
E07000078,91.1," 2,090,785 "," 70,067 "
E07000079,126.2," 1,541,360 "," 52,377 "
E07000080,126.6," 845,886 "," 29,092 "
E07000081,77.6," 2,123,379 "," 69,075 "
E07000082,86.5," 1,655,884 "," 53,327 "
E07000083,104.6," 1,728,523 "," 55,469 "
E07000084,134.2," 2,713,483 "," 86,366 "
E07000085,99.4," 1,410,877 "," 47,057 "
E07000086,108.7," 2,091,791 "," 67,563 "
E07000087,106.5," 1,482,826 "," 52,886 "
E07000088,90.8," 640,735 "," 22,459 "
E07000089,147.3," 1,154,736 "," 39,871 "
E07000090,98.7," 1,260,376 "," 43,397 "
E07000091,112.7," 2,318,675 "," 81,970 "
E07000092,190.1," 1,877,943 "," 62,284 "
E07000093,96.7," 1,865,712 "," 63,229 "
E07000094,103.8," 2,823,910 "," 95,385 "
E07000095,96.3," 1,198,488 "," 41,122 "
E07000096,69.6," 3,806,503 "," 121,341 "
E07000098,127.3," 1,851,027 "," 61,311 "
E07000099,109.4," 1,837,495 "," 60,948 "
E07000102,162.5," 1,366,235 "," 46,234 "
E07000103,107.6," 2,112,869 "," 68,125 "
E07000105,76.9," 2,147,318 "," 67,764 "
E07000106,78.6," 2,582,977 "," 81,210 "
E07000107,88.8," 2,221,112 "," 66,811 "
E07000108,103.6," 1,366,204 "," 41,701 "
E07000109,91.8," 1,087,021 "," 34,831 "
E07000110,93.5," 2,535,062 "," 83,100 "
E07000111,117.3," 1,847,598 "," 61,302 "
E07000112,83.7," 1,563,395 "," 49,016 "
E07000113,98.0," 1,891,289 "," 60,594 "
E07000114,71.3," 1,653,986 "," 52,673 "
E07000115,109.4," 2,270,047 "," 71,859 "
E07000116,97.8," 1,776,535 "," 60,901 "
E07000117,86.0," 1,209,513 "," 40,328 "
E07000118,86.6," 1,402,151 "," 45,939 "
E07000119,102.8," 1,383,033 "," 44,485 "
E07000120,81.6," 875,232 "," 28,671 "
E07000121,89.4," 1,865,948 "," 62,624 "
E07000122,81.2," 1,052,712 "," 35,345 "
E07000123,80.3," 2,951,183 "," 99,794 "
E07000124,108.4," 959,660 "," 31,258 "
E07000125,84.8," 635,309 "," 20,323 "
E07000126,135.8," 1,548,121 "," 49,236 "
E07000127,97.1," 1,468,672 "," 50,330 "
E07000128,88.9," 1,065,500 "," 34,788 "
E07000129,90.7," 2,071,591 "," 63,442 "
E07000130,85.3," 2,498,195 "," 80,263 "
