la,ssv_sum,new_technology_training_inc
E47000008,7075.28786205945,44.2754945922223
E47000013,5813.783393372,42.9690244562343
E47000014,7253.32070057181,43.7250119586629
E47000006,3201.01341433817,43.0499021641585
E47000001,34655.6429094507,47.0353201002153
E47000004,11915.4920526964,48.9409348411972
E47000009,11255.1215938284,47.6481362720552
E47000007,16971.572359509,44.1634653381101
E47000002,9686.55881573558,41.4128681225477
E47000003,15451.5798690504,42.081616797136
E47000012,12851.5798690504,45.081616793248
E61000001,12526.5798690504,49.081616797136
