itl,EU trade balance in goods (£ millions),Non-EU trade balance in goods (£ millions),US trade balance in goods (£ millions),EU trade balance in services (£ millions),Non-EU trade balance in services (£ millions),US trade balance in services (£ millions),EU trade balance in goods and services (£ millions),Non-EU trade balance in goods and services (£ millions),US trade balance in goods and services (£ millions)
TLD72,-788,-740.0,,381.0,1079.0,,-407.0,339.0,
TLD73,-141,-23.0,,138.0,262.0,,-3.0,239.0,
TLD74,54,-63.0,,157.0,,,211.0,,
TLE11,-390,-17.0,,23.0,248.0,,-367.0,231.0,
TLE12,-577,-192.0,,29.0,,,-548.0,,
TLE13,-302,-6887.0,,,,,,,
TLE21,-224,-260.0,,179.0,765.0,,-45.0,505.0,
TLE22,-534,-1398.0,,251.0,255.0,,-283.0,-1143.0,
TLE31,-906,-478.0,,179.0,344.0,,-727.0,-134.0,
TLE32,-117,385.0,,387.0,1335.0,,270.0,1720.0,
TLE41,-135,-245.0,,206.0,681.0,,71.0,436.0,
TLE42,-1713,-2884.0,,847.0,2347.0,,-866.0,-537.0,
TLE44,33,-153.0,,204.0,783.0,,237.0,630.0,
TLE45,-612,-806.0,,92.0,181.0,,-520.0,-625.0,
TLF11,1616,4699.0,,32.0,210.0,,1648.0,4909.0,
TLF12,-611,-451.0,,-81.0,181.0,,-692.0,-270.0,
TLF13,-976,-1510.0,,53.0,79.0,,-923.0,-1431.0,
TLF14,-1696,70.0,,219.0,934.0,,-1477.0,1004.0,
TLF15,-374,-458.0,,52.0,151.0,,-322.0,-307.0,
TLF16,-775,-314.0,,49.0,139.0,,-726.0,-175.0,
TLF21,-133,-169.0,,155.0,511.0,,22.0,342.0,
TLF22,-1038,-2287.0,,326.0,630.0,,-712.0,-1657.0,
TLF24,-763,-366.0,,551.0,423.0,,-212.0,57.0,
TLF25,-693,-690.0,,162.0,154.0,,-531.0,-536.0,
TLF30,-1038,-1064.0,,171.0,516.0,,-867.0,-548.0,
TLG11,-239,-13.0,,11.0,,,-228.0,,
TLG12,-667,-1294.0,,554.0,685.0,,-113.0,-609.0,
TLG13,-3903,2352.0,,16.0,758.0,,-3887.0,3110.0,
TLG21,562,-883.0,,42.0,288.0,,604.0,-595.0,
TLG22,-384,-167.0,,68.0,,,-316.0,,
TLG23,-446,-32.0,,77.0,1253.0,,-369.0,1221.0,
TLG24,-883,59.0,,138.0,469.0,,-745.0,528.0,
TLG31,-642,-2023.0,,828.0,2121.0,,186.0,98.0,
TLG32,-1718,3175.0,,338.0,540.0,,-1380.0,3715.0,
TLG33,-1973,330.0,,184.0,664.0,,-1789.0,994.0,
TLG36,-348,-440.0,,36.0,124.0,,-312.0,-316.0,
TLG37,-444,-346.0,,36.0,123.0,,-408.0,-223.0,
TLG38,-131,-66.0,,100.0,265.0,,-31.0,199.0,
TLG39,-123,-91.0,,89.0,272.0,,-34.0,181.0,
TLH11,-486,653.0,,71.0,253.0,,-415.0,906.0,
TLH12,-1298,531.0,,-83.0,3450.0,,-1381.0,3981.0,
TLH14,-1345,-221.0,,65.0,607.0,,-1280.0,386.0,
TLH15,-300,-116.0,,381.0,1239.0,,81.0,1123.0,
TLH16,253,-139.0,,51.0,161.0,,304.0,22.0,
TLH17,-226,-70.0,,34.0,106.0,,-192.0,36.0,
TLH21,-678,41.0,,,,,,,
TLH23,-6208,-2545.0,,1145.0,-237.0,,-5063.0,-2782.0,
TLH24,-126,-477.0,,54.0,128.0,,-72.0,-349.0,
TLH25,-879,-350.0,,101.0,195.0,,-778.0,-155.0,
TLH31,-54,-44.0,,32.0,71.0,,-22.0,27.0,
TLH32,-1332,-977.0,,51.0,163.0,,-1281.0,-814.0,
TLH34,-742,-460.0,,448.0,1119.0,,-294.0,659.0,
TLH35,-1118,-174.0,,334.0,397.0,,-784.0,223.0,
TLH36,-219,-214.0,,89.0,484.0,,-130.0,270.0,
TLH37,-518,207.0,,26.0,175.0,,-492.0,382.0,
TLI31,-4683,-3676.0,,11706.0,26736.0,,7023.0,23060.0,
TLI32,702,-1211.0,,10259.0,20108.0,,10961.0,18897.0,
TLI33,-2010,-587.0,,1388.0,2471.0,,-622.0,1884.0,
TLI34,-527,49.0,,111.0,527.0,,-416.0,576.0,
TLI41,-426,-1843.0,,1006.0,1229.0,,580.0,-614.0,
TLI42,261,-81.0,,3654.0,4277.0,,3915.0,4196.0,
TLI43,-642,-3434.0,,2900.0,7209.0,,2258.0,3775.0,
TLI44,-559,-2833.0,,1861.0,3197.0,,1302.0,364.0,
TLI45,-466,-2888.0,,569.0,1361.0,,103.0,-1527.0,
TLI51,173,-210.0,,108.0,345.0,,281.0,135.0,
TLI52,-302,-344.0,,98.0,253.0,,-204.0,-91.0,
TLI53,-131,-273.0,,79.0,,,-52.0,,
TLI54,-263,-93.0,,76.0,159.0,,-187.0,66.0,
TLI61,-128,-37.0,,130.0,251.0,,2.0,214.0,
TLI62,-339,-39.0,,455.0,285.0,,116.0,246.0,
TLI63,-2505,-261.0,,160.0,757.0,,-2345.0,496.0,
TLI71,-462,-74.0,,73.0,227.0,,-389.0,153.0,
TLI72,-799,156.0,,236.0,329.0,,-563.0,485.0,
TLI73,-696,-1147.0,,98.0,440.0,,-598.0,-707.0,
TLI74,-1987,-2065.0,,1870.0,1410.0,,-117.0,-655.0,
TLI75,-2633,-461.0,,5208.0,1159.0,,2575.0,698.0,
TLJ11,-7515,-3679.0,,2941.0,3740.0,,-4574.0,61.0,
TLJ12,-12768,-1646.0,,766.0,1260.0,,-12002.0,-386.0,
TLJ13,-2143,-1243.0,,461.0,515.0,,-1682.0,-728.0,
TLJ14,-1771,-533.0,,1152.0,1765.0,,-619.0,1232.0,
TLJ21,-327,-226.0,,253.0,1325.0,,-74.0,1099.0,
TLJ22,67,105.0,,97.0,307.0,,164.0,412.0,
TLJ25,-6152,-6984.0,,1039.0,2185.0,,-5113.0,-4799.0,
TLJ26,-2730,-6688.0,,522.0,1212.0,,-2208.0,-5476.0,
TLJ27,-438,196.0,,768.0,138.0,,330.0,334.0,
TLJ28,-1141,-14.0,,664.0,1176.0,,-477.0,1162.0,
TLJ31,-191,-80.0,,131.0,538.0,,-60.0,458.0,
TLJ32,-232,-711.0,,73.0,1418.0,,-159.0,707.0,
TLJ34,-388,49.0,,101.0,304.0,,-287.0,353.0,
TLJ35,-644,-1769.0,,539.0,453.0,,-105.0,-1316.0,
TLJ36,-1695,-6463.0,,440.0,846.0,,-1255.0,-5617.0,
TLJ37,-3310,908.0,,796.0,970.0,,-2514.0,1878.0,
TLJ41,-419,,,138.0,274.0,,-281.0,,
TLJ43,-422,-566.0,,135.0,212.0,,-287.0,-354.0,
TLJ44,-1197,-180.0,,117.0,678.0,,-1080.0,498.0,
TLJ45,-556,-796.0,,84.0,230.0,,-472.0,-566.0,
TLJ46,-640,,,131.0,615.0,,-509.0,,
TLK11,-712,-418.0,,436.0,1464.0,,-276.0,1046.0,
TLK12,383,338.0,,661.0,1386.0,,1044.0,1724.0,
TLK13,141,765.0,,241.0,1254.0,,382.0,2019.0,
TLK14,-590,-903.0,,150.0,1306.0,,-440.0,403.0,
TLK15,-868,-392.0,,93.0,367.0,,-775.0,-25.0,
TLK23,-118,238.0,,92.0,411.0,,-26.0,649.0,
TLK24,-80,272.0,,458.0,1093.0,,378.0,1365.0,
TLK25,-323,54.0,,88.0,301.0,,-235.0,355.0,
TLK30,84,-60.0,,293.0,652.0,,377.0,592.0,
TLK41,-249,-285.0,,1.0,267.0,,-248.0,-18.0,
TLK42,15,40.0,,55.0,,,70.0,,
TLK43,-150,-364.0,,176.0,718.0,,26.0,354.0,
TLL11,-4,,,33.0,149.0,,29.0,,
TLL12,86,,,,,,,,
TLL13,25,-16.0,,84.0,162.0,,109.0,146.0,
TLL14,1352,-7481.0,,115.0,322.0,,1467.0,-7159.0,
TLL15,-130,751.0,,236.0,592.0,,106.0,1343.0,
TLL16,421,71.0,,416.0,300.0,,837.0,371.0,
TLL17,709,-662.0,,26.0,144.0,,735.0,-518.0,
TLL18,271,256.0,,119.0,547.0,,390.0,803.0,
TLL21,325,364.0,,52.0,298.0,,377.0,662.0,
TLL22,604,-431.0,,472.0,1440.0,,1076.0,1009.0,
TLL23,874,-76.0,,,,,,,
TLL24,292,16.0,,123.0,,,415.0,,
TLM50,5218,-1241.0,,703.0,,,5921.0,,
TLM61,149,76.0,,104.0,58.0,,253.0,134.0,
TLM62,107,431.0,,187.0,153.0,,294.0,584.0,
TLM63,80,27.0,,123.0,125.0,,203.0,152.0,
TLM64,65,-30.0,,9.0,-28.0,,74.0,-58.0,
TLM65,104,98.0,,16.0,85.0,,120.0,183.0,
TLM66,1128,197.0,,15.0,,,1143.0,,
TLM71,-22,315.0,,445.0,,,423.0,,
TLM72,424,1870.0,,774.0,430.0,,1198.0,2300.0,
TLM73,-36,-27.0,,67.0,153.0,,31.0,126.0,
TLM75,-73,26.0,,1591.0,4285.0,,1518.0,4311.0,
TLM76,850,-3038.0,,25.0,28.0,,875.0,-3010.0,
TLM77,-29,193.0,,117.0,351.0,,88.0,544.0,
TLM78,494,-222.0,,135.0,217.0,,629.0,-5.0,
TLM81,187,751.0,,87.0,284.0,,274.0,1035.0,
TLM82,-449,482.0,,1006.0,1864.0,,557.0,2346.0,
TLM83,-164,662.0,,340.0,372.0,,176.0,1034.0,
TLM84,-2,304.0,,-9.0,384.0,,-11.0,688.0,
TLM91,41,-24.0,,21.0,53.0,,62.0,29.0,
TLM92,-48,84.0,,46.0,132.0,,-2.0,216.0,
TLM93,-142,70.0,,,,,,,
TLM94,100,151.0,,165.0,403.0,,265.0,554.0,
TLM95,-205,-243.0,,65.0,215.0,,-140.0,-28.0,
TLN06,-300,315.0,,513.0,2639.0,,213.0,2954.0,
TLN07,-97,381.0,,120.0,193.0,,23.0,574.0,
TLN08,179,-100.0,,76.0,68.0,,255.0,-32.0,
TLN09,-273,351.0,,,,,,,
TLN0A,-78,136.0,,41.0,289.0,,-37.0,425.0,
TLN0B,-566,-1158.0,,76.0,96.0,,-490.0,-1062.0,
TLN0C,80,195.0,,32.0,,,112.0,,
TLN0D,-677,120.0,,102.0,113.0,,-575.0,233.0,
TLN0E,-127,-183.0,,44.0,120.0,,-83.0,-63.0,
TLN0F,85,-124.0,,29.0,77.0,,114.0,-47.0,
TLN0G,243,217.0,,41.0,46.0,,284.0,263.0,
