itl,Grand Total,"Population ('000s, mid-year estimate)",Area (km2),Per Capita Emissions (tCO2e),Emissions per km2 (kt CO2e)
TLE45,1994.8146342847776,357.729,338.61980000000005,5.576329104670792,5.8910159248950515
TLF11,1242.261529410908,263.49,78.0311,4.714643931120376,15.920082241707577
TLF12,2075.8819228421335,289.446,501.9933,7.17191435653674,4.135278145828109
TLF13,14161.217477005004,1317.482,4599.5269,10.748699016005535,3.0788421907055277
TLF14,1334.0852071888244,328.513,74.61319999999999,4.060981474671701,17.880015964853733
TLF15,2902.585349246791,483.397,1477.5832,6.004558053208421,1.9644141522770364
TLF16,6672.570855520813,1186.247,2696.2078,5.62494223843838,2.4747984393194074
TLF21,1361.1354227232757,373.399,73.3421,3.645257279005235,18.558718972094823
TLF22,42790.986802788575,6420.4,20372.0519,6.664847486572266,2.10047505341318
TLF24,7342.276599549332,1221.434,3747.3859,6.011193891400872,1.9593062458684416
TLF25,2014.6522896473527,363.408,986.5947,5.543775287410714,2.0420262643285563
TLF30,10548.402822256794,1551.0480000000002,12205.1068,6.800822941815335,0.8642614108265562
TLG11,1498.5475531444233,188.719,2179.7094,7.940628941147544,0.6874987799494846
TLG12,39426.58535575356,7240.085,16484.7663,5.445597027625167,2.3916981677655667
TLG13,10239.932733458567,1215.208,3955.0412,8.426485616831494,2.5890837075119637
TLG21,952.1409180122419,188.871,290.3137,5.041223470052268,3.2796968176570447
TLG22,2586.9683002342113,327.178,3197.2758000000003,7.906913974149274,0.8091164047324948
TLG23,1135.7764620453675,259.965,93.44850000000001,4.368959136981392,12.154036309254481
TLG24,12537.448080850594,1772.568,5246.633,7.07304209533885,2.3896178903404515
TLG31,4316.447831168416,1157.603,267.7912,3.728780792005909,16.11870678038866
TLG32,1172.8703488485905,217.678,178.28209999999999,5.388097781349473,6.578733080037708
TLG33,1292.4952071090797,355.6,98.639,3.634688433940044,13.103287818297831
TLG36,1117.7857122973985,324.969,97.9584,3.4396687447030287,11.41082043293274
TLG37,1341.713742446558,344.21,85.5589,3.897951083485541,15.681755404131634
TLG38,1060.8239671418469,286.105,103.9734,3.707813450103447,10.202840025832058
TLG39,974.2674540397163,267.651,69.4365,3.6400665569705186,14.03105649103449
TLH21,738.5822246347085,226.973,43.3525,3.2540532337974493,17.036669733803322
TLH24,823.8571436801154,187.466,476.4082,4.394701672197174,1.729309326917789
TLH25,3745.3814819863364,790.468,1907.7396,4.738182294522153,1.9632561393527377
TLH26,8200.111463982092,1799.435,2701.0649000000003,4.557047886687817,3.035880946060234
TLH27,3069.7412335006043,609.741,585.0653,5.0345002771678535,5.246835239588819
TLH31,506.13430495980543,180.915,67.8641,2.797635933779982,7.458056689174475
TLH32,36987.20283496274,6575.374000000002,19768.7563,5.625110120726629,1.8709929078827656
TLH34,2302.0144282644846,503.526,1324.6385,4.571788603298508,1.7378435159966168
TLH35,9900.293101728523,1841.4850000000001,4707.4367999999995,5.376255088544584,2.10311758231752
TLH36,1732.8215251752238,328.212,924.181,5.279580043311103,1.8749806857912288
TLH37,1579.960384266166,365.795,437.2073,4.319250903555724,3.6137557270113425
TLH41,1154.4559454655746,217.705,343.4379,5.302845343311245,3.3614692655224556
TLH42,12898.198536588914,1378.218,6108.015799999999,9.358605486642109,2.1116838853935045
TLH51,1658.3407693029885,378.259,776.2192,4.384140943911416,2.1364335864186152
TLH52,2419.1181749317084,258.968,2516.8923,9.341378760818744,0.9611528371443261
TLH53,8185.197917907595,1213.3709999999999,7721.1579,6.745832822696105,1.0600997964188241
TLH61,1280.59563482792,200.0,1482.7105000000001,6.402978174139601,0.8636855507719949
TLH62,445.8450987310674,139.247,40.3002,3.2018291146744087,11.063098910950007
TLH63,1236.5327236760509,247.08,1294.7661,5.004584440974789,0.9550240183737053
TLH64,5949.803699432355,950.7830000000001,4887.128000000001,6.257793523266985,1.2174438032792172
TLI33,1353.451050232792,331.392,29.537799999999997,4.084139177266778,45.82098362886851
TLI34,805.310433841686,329.035,35.2203,2.447491707087957,22.864951003872367
TLI35,30822.880364558714,9088.391999999998,1619.8765999999998,3.3914558664017487,19.027918771441428
TLI36,995.3668152077903,218.049,21.789499999999997,4.56487677177052,45.68103055176991
TLI41,1539.3843364063064,620.136,57.6273,2.482333450092087,26.712761771006214
TLI42,1065.922984489542,325.789,21.575,3.2718200568145086,49.405468574254556
TLI43,1254.348091681613,482.18399999999997,44.4548,2.6013888716374103,28.216257674798065
TLI44,1783.1444913970163,610.566,65.22999999999999,2.9204778703645733,27.33626385707522
TLI45,848.0916804265431,316.812,27.2494,2.6769556722174133,31.123315758385253
TLI51,1650.6629217552945,538.915,114.72829999999999,3.062937423815063,14.387582852315381
TLI52,1513.0110342805297,484.69499999999994,152.2565,3.1215734312929366,9.937250851559899
TLI53,1328.8902093243607,586.798,95.2499,2.2646467938274513,13.95161789486772
TLI54,1203.6674647472075,327.224,82.20020000000001,3.678420484888662,14.643120877409148
TLI61,953.2290930653085,329.578,150.13479999999998,2.8922716111673368,6.349154846613234
TLI62,1102.041159511174,392.224,86.49430000000001,2.809723932016333,12.741199819076794
TLI63,1820.2210070008696,593.064,118.73310000000001,3.069181415497939,15.330358653154592
TLI71,1217.7143330117449,389.101,86.7483,3.129558477135101,14.037327913189594
TLI72,1009.8193540914768,341.221,43.2325,2.959429091678053,23.35787553556877
TLI73,1159.819098758803,369.937,55.544700000000006,3.135180040814525,20.880823890646685
TLI74,2098.7133034217036,571.866,166.1636,3.6699389427273235,12.63040343024407
TLI75,1600.8481615575795,485.382,115.3469,3.2981201642367854,13.878553836796476
TLJ12,1291.9141017505813,292.18,308.62669999999997,4.4216376950872105,4.186008863622562
TLJ13,2991.298327802373,560.409,1564.9379999999999,5.3377057252870195,1.911448458534698
TLJ14,8127.80722968524,1476.5520000000001,5211.8948,5.504585838958086,1.5594726182280654
TLJ15,2035.933164476995,440.801,340.35339999999997,4.618712671879136,5.981821143778776
TLJ16,43794.00275156947,9897.835000000001,20323.638800000008,4.424604244420064,2.154830794944528
TLJ21,795.4290514005941,277.965,85.38600000000001,2.861615855955225,9.315684671967231
TLJ22,3952.8746541229984,1101.44,3447.7182,3.588824315553274,1.1465190670522314
TLJ25,9172.796741062804,2017.791,2670.4073,4.545959785261608,3.4349804020767936
TLJ26,1997.4754582768774,411.289,669.7391,4.856622613969441,2.9824680361007405
