itl,All Trade (imports) 2022,All Trade (exports) 2022,Trade in Goods (imports) 2022,Trade in Goods (exports) 2022,Trade in Services (imports) 2022,Trade in Services (exports) 2022
TLI42,"12,740","20,851","3,624","3,804","9,116","17,047"
TLI43,"7,581","13,614","5,295","1,219","2,286","12,395"
TLI44,"5,681","7,347","4,083",691,"1,598","6,656"
TLI45,"5,439","4,015","3,781",427,"1,658","3,588"
TLI5,"5,250",[c],"4,584","3,141",666,[c]
TLI51,898,"1,314",730,693,168,621
TLI52,"1,790","1,495","1,550",904,240,591
TLI53,840,[c],722,318,118,[c]
TLI54,"1,722","1,601","1,582","1,226",140,375
TLI6,"6,028","4,757","4,249",940,"1,779","3,817"
TLI61,564,780,339,174,225,606
TLI62,924,"1,286",612,234,312,"1,052"
TLI63,"4,540","2,691","3,298",532,"1,242","2,159"
TLI7,"23,846","24,728","17,332","7,164","6,514","17,564"
TLI71,"1,208",972,"1,037",501,171,471
TLI72,"2,182","2,104","1,664","1,021",518,"1,083"
TLI73,"3,082","1,777","2,671",828,411,949
TLI74,"6,841","6,069","5,588","1,536","1,253","4,533"
TLI75,"10,533","13,806","6,372","3,278","4,161","10,528"
TLJ,"157,842","102,655","125,585","50,124","32,257","52,531"
TLJ1,"56,575","37,877","47,824","16,526","8,751","21,351"
TLJ11,"22,022","17,509","17,297","6,103","4,725","11,406"
TLJ12,"16,818","4,430","15,632","1,218","1,186","3,212"
TLJ13,"7,923","5,513","7,113","3,727",810,"1,786"
TLJ14,"9,812","10,425","7,782","5,478","2,030","4,947"
TLJ2,"45,329","30,683","38,688","14,356","6,641","16,327"
TLJ21,"1,236","2,261",679,126,557,"2,135"
TLJ22,629,"1,205",461,633,168,572
TLJ25,"20,080","10,168","17,266","4,130","2,814","6,038"
TLJ26,"15,985","8,301","15,013","5,595",972,"2,706"
TLJ27,"2,117","2,781","1,187",945,930,"1,836"
TLJ28,"5,282","5,967","4,082","2,927","1,200","3,040"
TLJ3,"34,612","26,695","30,269","15,743","4,343","10,952"
TLJ31,"1,143","1,541",845,574,298,967
TLJ32,"5,120","5,668","4,358","3,415",762,"2,253"
TLJ34,682,748,579,240,103,508
TLJ35,"4,795","3,374","4,329","1,916",466,"1,458"
TLJ36,"12,421","5,549","11,117","2,959","1,304","2,590"
TLJ37,"10,451","9,815","9,041","6,639","1,410","3,176"
TLJ4,"10,091","7,400","8,804","3,499","1,287","3,901"
